disease,fever,cough,headache,fatigue,nausea,vomiting,diarrhea,abdominal_pain,chest_pain,shortness_of_breath,dizziness,muscle_pain,joint_pain,sore_throat,runny_nose,sneezing,loss_of_taste,loss_of_smell,chills,sweating
Common Cold,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Common Cold,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
COVID-19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Bronchitis,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bronchitis,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
